Step       0 (bc0.0)s   | [R_te] min: 992.28          max: 1002.62        Avg: 997.72 (1.12)       | [MSE_tr]  0.2187    | w_noise: [0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368]
Step    1000 (bc18.8)s  | [R_te] min: 440.73          max: 1659.69        Avg: 790.07 (125.89)     | [MSE_tr]  0.1422    | w_noise: [0.313 0.313 0.311 0.311 0.319 0.358 0.369 0.419 0.429 0.439]
Step    2000 (bc18.9)s  | [R_te] min: 360.49          max: 640.78         Avg: 466.56 (27.87)      | [MSE_tr]  0.1350    | w_noise: [0.244 0.245 0.244 0.245 0.251 0.303 0.318 0.421 0.452 0.468]
Step    3000 (bc18.8)s  | [R_te] min: 376.93          max: 548.43         Avg: 436.26 (14.70)      | [MSE_tr]  0.1326    | w_noise: [0.187 0.188 0.187 0.187 0.195 0.248 0.266 0.398 0.444 0.464]
Step    4000 (bc18.8)s  | [R_te] min: 228.70          max: 646.45         Avg: 439.70 (42.16)      | [MSE_tr]  0.1302    | w_noise: [0.143 0.143 0.142 0.142 0.150 0.203 0.222 0.367 0.423 0.440]
Step    5000 (bc18.9)s  | [R_te] min: 253.60          max: 765.02         Avg: 470.91 (44.46)      | [MSE_tr]  0.1283    | w_noise: [0.108 0.108 0.107 0.108 0.116 0.168 0.186 0.336 0.396 0.415]
Step    6000 (bc18.8)s  | [R_te] min: 335.20          max: 1424.50        Avg: 601.16 (98.59)      | [MSE_tr]  0.1269    | w_noise: [0.081 0.082 0.081 0.082 0.090 0.142 0.160 0.309 0.373 0.389]
Step    7000 (bc18.8)s  | [R_te] min: 413.38          max: 1030.30        Avg: 618.90 (57.13)      | [MSE_tr]  0.1248    | w_noise: [0.061 0.061 0.061 0.062 0.071 0.121 0.141 0.287 0.351 0.367]
Step    8000 (bc18.8)s  | [R_te] min: 332.11          max: 1014.21        Avg: 518.76 (55.36)      | [MSE_tr]  0.1231    | w_noise: [0.046 0.046 0.046 0.048 0.056 0.106 0.126 0.272 0.335 0.350]
Step    9000 (bc18.9)s  | [R_te] min: 421.08          max: 2055.87        Avg: 661.20 (148.08)     | [MSE_tr]  0.1216    | w_noise: [0.035 0.035 0.035 0.037 0.045 0.096 0.116 0.257 0.323 0.338]
Step   10000 (bc18.9)s  | [R_te] min: 422.70          max: 2853.72        Avg: 783.45 (219.18)     | [MSE_tr]  0.1199    | w_noise: [0.026 0.026 0.026 0.029 0.038 0.088 0.107 0.247 0.311 0.327]
Step   11000 (bc18.9)s  | [R_te] min: 391.54          max: 853.65         Avg: 570.62 (41.57)      | [MSE_tr]  0.1192    | w_noise: [0.020 0.020 0.020 0.023 0.033 0.081 0.100 0.236 0.303 0.320]
Step   12000 (bc18.9)s  | [R_te] min: 371.87          max: 3198.33        Avg: 984.59 (338.71)     | [MSE_tr]  0.1174    | w_noise: [0.015 0.015 0.015 0.019 0.029 0.076 0.095 0.229 0.296 0.313]
Step   13000 (bc19.0)s  | [R_te] min: 364.02          max: 2540.96        Avg: 1092.64 (224.88)    | [MSE_tr]  0.1161    | w_noise: [0.011 0.012 0.012 0.016 0.026 0.072 0.091 0.222 0.290 0.309]
Step   14000 (bc18.9)s  | [R_te] min: 465.20          max: 2894.78        Avg: 1142.10 (297.60)    | [MSE_tr]  0.1150    | w_noise: [0.009 0.009 0.009 0.013 0.024 0.069 0.088 0.217 0.283 0.304]
Step   15000 (bc18.9)s  | [R_te] min: 352.40          max: 2069.04        Avg: 645.39 (152.35)     | [MSE_tr]  0.1141    | w_noise: [0.007 0.007 0.007 0.012 0.022 0.067 0.086 0.214 0.280 0.301]
Step   16000 (bc18.8)s  | [R_te] min: 400.85          max: 567.75         Avg: 490.32 (16.89)      | [MSE_tr]  0.1128    | w_noise: [0.005 0.006 0.006 0.011 0.021 0.065 0.084 0.211 0.276 0.298]
Step   17000 (bc18.8)s  | [R_te] min: 351.03          max: 1072.78        Avg: 525.22 (61.94)      | [MSE_tr]  0.1121    | w_noise: [0.004 0.004 0.005 0.010 0.020 0.064 0.082 0.208 0.275 0.297]
Step   18000 (bc18.8)s  | [R_te] min: 276.75          max: 3071.43        Avg: 1158.90 (343.48)    | [MSE_tr]  0.1111    | w_noise: [0.003 0.004 0.004 0.009 0.019 0.062 0.081 0.206 0.274 0.294]
Step   19000 (bc18.9)s  | [R_te] min: 464.59          max: 3249.80        Avg: 1743.58 (387.16)    | [MSE_tr]  0.1101    | w_noise: [0.003 0.003 0.003 0.008 0.018 0.061 0.080 0.205 0.271 0.291]
Step   20000 (bc18.8)s  | [R_te] min: 412.02          max: 3773.65        Avg: 1133.15 (359.83)    | [MSE_tr]  0.1093    | w_noise: [0.002 0.003 0.003 0.008 0.017 0.061 0.079 0.202 0.269 0.289]
Step   21000 (bc18.8)s  | [R_te] min: 458.12          max: 3448.43        Avg: 1069.91 (314.23)    | [MSE_tr]  0.1086    | w_noise: [0.002 0.002 0.003 0.008 0.017 0.060 0.078 0.202 0.267 0.289]
Step   22000 (bc18.9)s  | [R_te] min: 307.47          max: 3677.05        Avg: 1356.17 (460.15)    | [MSE_tr]  0.1079    | w_noise: [0.002 0.002 0.002 0.007 0.017 0.059 0.078 0.201 0.266 0.288]
Step   23000 (bc18.8)s  | [R_te] min: 303.00          max: 3794.85        Avg: 786.00 (318.28)     | [MSE_tr]  0.1071    | w_noise: [0.002 0.002 0.002 0.007 0.016 0.058 0.077 0.202 0.265 0.290]
Step   24000 (bc18.9)s  | [R_te] min: 410.57          max: 1227.71        Avg: 598.78 (72.82)      | [MSE_tr]  0.1066    | w_noise: [0.002 0.002 0.002 0.007 0.016 0.058 0.076 0.200 0.264 0.290]
Step   25000 (bc18.9)s  | [R_te] min: 285.69          max: 3340.41        Avg: 1742.96 (401.92)    | [MSE_tr]  0.1059    | w_noise: [0.001 0.002 0.002 0.007 0.016 0.058 0.076 0.199 0.265 0.288]
Step   26000 (bc19.1)s  | [R_te] min: 337.35          max: 3517.64        Avg: 1253.16 (372.29)    | [MSE_tr]  0.1054    | w_noise: [0.001 0.002 0.002 0.007 0.016 0.057 0.075 0.199 0.264 0.287]
Step   27000 (bc18.8)s  | [R_te] min: 436.68          max: 3183.36        Avg: 1860.15 (364.53)    | [MSE_tr]  0.1047    | w_noise: [0.001 0.002 0.002 0.006 0.016 0.057 0.075 0.200 0.264 0.286]
Step   28000 (bc18.8)s  | [R_te] min: 255.94          max: 3389.26        Avg: 1227.55 (288.55)    | [MSE_tr]  0.1047    | w_noise: [0.001 0.002 0.002 0.006 0.015 0.057 0.074 0.199 0.263 0.286]
