Step       0 (bc0.0)s   | [R_te] min: 986.00          max: 994.50         Avg: 988.87 (0.83)       | [MSE_tr]  0.2191    | w_noise: [0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368]
Step    1000 (bc18.4)s  | [R_te] min: 373.81          max: 938.69         Avg: 572.93 (44.44)      | [MSE_tr]  0.1420    | w_noise: [0.313 0.313 0.312 0.313 0.319 0.358 0.368 0.416 0.430 0.438]
Step    2000 (bc18.4)s  | [R_te] min: 386.82          max: 739.55         Avg: 531.15 (31.41)      | [MSE_tr]  0.1348    | w_noise: [0.244 0.245 0.243 0.245 0.251 0.303 0.318 0.421 0.451 0.467]
Step    3000 (bc18.4)s  | [R_te] min: 288.05          max: 486.39         Avg: 410.00 (21.11)      | [MSE_tr]  0.1316    | w_noise: [0.188 0.188 0.187 0.187 0.194 0.249 0.266 0.397 0.445 0.461]
Step    4000 (bc18.4)s  | [R_te] min: 384.73          max: 877.29         Avg: 547.57 (50.95)      | [MSE_tr]  0.1296    | w_noise: [0.143 0.143 0.142 0.142 0.149 0.205 0.222 0.367 0.424 0.438]
Step    5000 (bc18.4)s  | [R_te] min: 365.65          max: 998.25         Avg: 567.02 (62.17)      | [MSE_tr]  0.1279    | w_noise: [0.108 0.108 0.108 0.108 0.115 0.170 0.188 0.335 0.397 0.409]
Step    6000 (bc18.4)s  | [R_te] min: 452.87          max: 1432.78        Avg: 706.59 (91.26)      | [MSE_tr]  0.1263    | w_noise: [0.081 0.081 0.081 0.082 0.089 0.143 0.161 0.306 0.372 0.388]
Step    7000 (bc18.4)s  | [R_te] min: 436.65          max: 1849.43        Avg: 792.73 (127.80)     | [MSE_tr]  0.1247    | w_noise: [0.061 0.061 0.061 0.062 0.070 0.123 0.142 0.285 0.350 0.370]
Step    8000 (bc18.4)s  | [R_te] min: 410.13          max: 2095.47        Avg: 742.13 (160.84)     | [MSE_tr]  0.1230    | w_noise: [0.046 0.046 0.046 0.048 0.056 0.108 0.127 0.267 0.334 0.353]
Step    9000 (bc18.4)s  | [R_te] min: 512.58          max: 2530.02        Avg: 928.39 (202.76)     | [MSE_tr]  0.1213    | w_noise: [0.034 0.035 0.035 0.037 0.045 0.096 0.116 0.254 0.322 0.338]
Step   10000 (bc18.4)s  | [R_te] min: 479.56          max: 3361.97        Avg: 1224.48 (321.88)    | [MSE_tr]  0.1202    | w_noise: [0.026 0.026 0.026 0.029 0.038 0.088 0.107 0.244 0.310 0.329]
