Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 9.98           max: 10.00          Avg: 9.99 (0.00)          | w_noise: 0.36788
Step    5000 (g2.8+d6.5)s         | [D] min: 2.33       max: 2.63      | [R_te] min: 9.98           max: 10.00          Avg: 9.99 (0.00)          | w_noise: 0.37041
Step   10000 (g6.3+d8.4)s         | [D] min: 1.96       max: 3.03      | [R_te] min: 8.61           max: 9.47           Avg: 9.10 (0.10)          | w_noise: 0.35176
Step   15000 (g4.5+d7.2)s         | [D] min: 1.32       max: 3.51      | [R_te] min: 7.13           max: 9.34           Avg: 8.04 (0.18)          | w_noise: 0.32752
Step   20000 (g2.4+d5.4)s         | [D] min: 1.44       max: 3.24      | [R_te] min: 6.55           max: 8.33           Avg: 7.55 (0.17)          | w_noise: 0.30801
Step   25000 (g3.1+d4.6)s         | [D] min: 1.21       max: 3.22      | [R_te] min: 6.70           max: 8.07           Avg: 7.26 (0.14)          | w_noise: 0.28917
Step   30000 (g4.0+d5.8)s         | [D] min: 1.08       max: 3.00      | [R_te] min: 7.00           max: 8.34           Avg: 7.56 (0.14)          | w_noise: 0.27145
Step   35000 (g3.8+d6.7)s         | [D] min: 1.63       max: 3.28      | [R_te] min: 168.14         max: 513.90         Avg: 448.66 (31.09)       | w_noise: 0.25445
Step   40000 (g6.7+d8.7)s         | [D] min: 1.24       max: 2.78      | [R_te] min: 352.84         max: 470.04         Avg: 418.98 (9.35)        | w_noise: 0.23487
Step   45000 (g2.0+d5.5)s         | [D] min: 1.39       max: 3.18      | [R_te] min: 93.41          max: 435.17         Avg: 322.17 (36.39)       | w_noise: 0.21713
Step   50000 (g5.8+d8.9)s         | [D] min: 1.17       max: 2.66      | [R_te] min: 178.75         max: 582.89         Avg: 454.18 (49.38)       | w_noise: 0.20072
Step   55000 (g4.5+d5.7)s         | [D] min: 1.62       max: 3.35      | [R_te] min: 82.21          max: 481.06         Avg: 239.16 (31.97)       | w_noise: 0.18853
Step   60000 (g3.3+d7.6)s         | [D] min: 1.21       max: 3.26      | [R_te] min: 377.72         max: 545.90         Avg: 452.34 (17.56)       | w_noise: 0.17469
Step   65000 (g2.6+d6.5)s         | [D] min: 1.29       max: 3.07      | [R_te] min: 511.76         max: 594.04         Avg: 563.07 (8.86)        | w_noise: 0.16182
Step   70000 (g6.9+d9.0)s         | [D] min: 1.18       max: 3.16      | [R_te] min: 82.70          max: 675.36         Avg: 533.24 (53.05)       | w_noise: 0.15021
Step   75000 (g7.1+d7.2)s         | [D] min: 1.17       max: 3.48      | [R_te] min: 28.39          max: 419.37         Avg: 222.64 (42.98)       | w_noise: 0.13945
Step   80000 (g6.9+d10.3)s        | [D] min: 1.32       max: 3.29      | [R_te] min: 246.75         max: 567.15         Avg: 420.89 (27.11)       | w_noise: 0.12981
Step   85000 (g6.4+d7.3)s         | [D] min: 1.35       max: 3.23      | [R_te] min: 431.86         max: 711.34         Avg: 574.95 (25.58)       | w_noise: 0.12090
Step   90000 (g3.8+d6.6)s         | [D] min: 1.33       max: 3.23      | [R_te] min: 67.80          max: 441.63         Avg: 294.86 (38.11)       | w_noise: 0.11270
Step   95000 (g5.3+d6.0)s         | [D] min: 1.40       max: 3.58      | [R_te] min: 77.92          max: 426.52         Avg: 335.70 (40.16)       | w_noise: 0.10668
Step  100000 (g4.1+d6.8)s         | [D] min: 1.28       max: 3.14      | [R_te] min: 74.65          max: 427.26         Avg: 112.24 (33.21)       | w_noise: 0.09978
Step  105000 (g5.3+d6.2)s         | [D] min: 1.39       max: 3.57      | [R_te] min: 78.64          max: 754.68         Avg: 350.68 (87.06)       | w_noise: 0.09471
Step  110000 (g3.7+d6.2)s         | [D] min: 1.20       max: 3.25      | [R_te] min: 92.23          max: 692.58         Avg: 460.10 (75.90)       | w_noise: 0.08877
Step  115000 (g3.6+d6.3)s         | [D] min: 1.48       max: 3.66      | [R_te] min: 460.20         max: 561.54         Avg: 513.15 (10.86)       | w_noise: 0.08436
Step  120000 (g2.3+d6.2)s         | [D] min: 1.46       max: 3.48      | [R_te] min: 412.84         max: 526.92         Avg: 490.71 (11.58)       | w_noise: 0.07920
Step  125000 (g2.3+d5.9)s         | [D] min: 1.53       max: 3.46      | [R_te] min: 402.60         max: 675.35         Avg: 516.65 (22.64)       | w_noise: 0.07547
Step  130000 (g3.6+d8.8)s         | [D] min: 1.52       max: 3.53      | [R_te] min: 391.76         max: 496.05         Avg: 428.99 (12.91)       | w_noise: 0.07109
Step  135000 (g3.4+d7.2)s         | [D] min: 1.47       max: 3.71      | [R_te] min: 392.90         max: 644.57         Avg: 520.14 (21.67)       | w_noise: 0.06792
Step  140000 (g6.8+d7.9)s         | [D] min: 1.14       max: 3.58      | [R_te] min: 450.53         max: 594.78         Avg: 534.18 (13.56)       | w_noise: 0.06416
Step  145000 (g2.8+d7.6)s         | [D] min: 1.64       max: 3.84      | [R_te] min: 361.16         max: 587.72         Avg: 443.65 (20.80)       | w_noise: 0.06080
Step  150000 (g4.0+d9.4)s         | [D] min: 1.16       max: 3.62      | [R_te] min: 401.03         max: 635.11         Avg: 512.31 (20.44)       | w_noise: 0.05778
Step  155000 (g4.3+d7.5)s         | [D] min: 1.21       max: 3.86      | [R_te] min: 683.66         max: 703.87         Avg: 688.59 (1.74)        | w_noise: 0.05499
Step  160000 (g6.5+d8.5)s         | [D] min: 1.12       max: 3.94      | [R_te] min: 521.89         max: 690.64         Avg: 598.49 (15.19)       | w_noise: 0.05241
Step  165000 (g6.5+d7.4)s         | [D] min: 1.05       max: 3.94      | [R_te] min: 440.54         max: 783.71         Avg: 686.27 (27.86)       | w_noise: 0.05012
Step  170000 (g8.3+d7.0)s         | [D] min: 0.99       max: 3.99      | [R_te] min: 641.50         max: 778.72         Avg: 711.21 (13.61)       | w_noise: 0.04796
Step  175000 (g3.9+d8.3)s         | [D] min: 1.07       max: 4.13      | [R_te] min: 537.84         max: 773.78         Avg: 651.94 (23.96)       | w_noise: 0.04606
Step  180000 (g3.4+d7.4)s         | [D] min: 0.76       max: 3.74      | [R_te] min: 387.83         max: 757.45         Avg: 603.35 (32.89)       | w_noise: 0.04432
Step  185000 (g4.9+d8.6)s         | [D] min: 0.72       max: 4.02      | [R_te] min: 498.97         max: 580.85         Avg: 533.12 (7.39)        | w_noise: 0.04270
Step  190000 (g4.2+d5.1)s         | [D] min: 0.68       max: 4.08      | [R_te] min: 410.32         max: 698.29         Avg: 597.84 (33.46)       | w_noise: 0.04139
Step  195000 (g5.3+d9.2)s         | [D] min: 0.68       max: 3.81      | [R_te] min: 357.64         max: 614.73         Avg: 503.73 (29.26)       | w_noise: 0.04007
Step  200000 (g4.3+d8.0)s         | [D] min: 0.53       max: 4.06      | [R_te] min: 417.91         max: 660.43         Avg: 539.31 (22.98)       | w_noise: 0.03893
Step  205000 (g5.0+d9.0)s         | [D] min: 0.62       max: 3.86      | [R_te] min: 492.85         max: 657.64         Avg: 592.98 (13.99)       | w_noise: 0.03797
Step  210000 (g7.0+d8.1)s         | [D] min: 0.60       max: 3.91      | [R_te] min: 494.50         max: 685.90         Avg: 576.34 (19.77)       | w_noise: 0.03704
Step  215000 (g8.5+d9.5)s         | [D] min: 0.55       max: 3.65      | [R_te] min: 497.53         max: 594.83         Avg: 554.27 (11.53)       | w_noise: 0.03625
Step  220000 (g5.3+d8.6)s         | [D] min: 0.47       max: 4.00      | [R_te] min: 514.53         max: 771.57         Avg: 602.95 (23.57)       | w_noise: 0.03547
Step  225000 (g6.1+d7.9)s         | [D] min: 0.40       max: 3.90      | [R_te] min: 498.33         max: 784.71         Avg: 623.17 (22.54)       | w_noise: 0.03482
Step  230000 (g5.4+d8.0)s         | [D] min: 0.40       max: 3.91      | [R_te] min: 523.50         max: 687.86         Avg: 600.69 (13.81)       | w_noise: 0.03427
Step  235000 (g4.8+d10.3)s        | [D] min: 0.40       max: 3.58      | [R_te] min: 471.25         max: 620.64         Avg: 552.46 (14.31)       | w_noise: 0.03373
Step  240000 (g4.7+d10.2)s        | [D] min: 0.29       max: 4.28      | [R_te] min: 488.62         max: 777.40         Avg: 582.14 (24.53)       | w_noise: 0.03331
Step  245000 (g3.9+d6.9)s         | [D] min: 0.43       max: 3.70      | [R_te] min: 486.61         max: 641.52         Avg: 592.08 (13.65)       | w_noise: 0.03279
Step  250000 (g3.8+d7.3)s         | [D] min: 0.26       max: 4.03      | [R_te] min: 505.62         max: 691.15         Avg: 604.87 (17.25)       | w_noise: 0.03242
Step  255000 (g2.7+d8.0)s         | [D] min: 0.40       max: 3.86      | [R_te] min: 480.52         max: 634.51         Avg: 527.50 (14.29)       | w_noise: 0.03211
Step  260000 (g4.0+d8.9)s         | [D] min: 0.36       max: 4.00      | [R_te] min: 432.37         max: 676.87         Avg: 538.27 (22.11)       | w_noise: 0.03191
Step  265000 (g2.6+d6.7)s         | [D] min: 0.32       max: 4.07      | [R_te] min: 224.78         max: 675.06         Avg: 469.42 (44.37)       | w_noise: 0.03173
Step  270000 (g5.6+d9.5)s         | [D] min: 0.45       max: 3.57      | [R_te] min: 364.59         max: 590.80         Avg: 497.20 (19.68)       | w_noise: 0.03146
Step  275000 (g4.2+d7.6)s         | [D] min: 0.43       max: 3.56      | [R_te] min: 386.96         max: 583.73         Avg: 485.15 (18.44)       | w_noise: 0.03131
Step  280000 (g7.3+d10.6)s        | [D] min: 0.48       max: 4.15      | [R_te] min: 378.73         max: 587.48         Avg: 433.32 (18.70)       | w_noise: 0.03118
Step  285000 (g8.4+d9.9)s         | [D] min: 0.26       max: 3.66      | [R_te] min: 390.43         max: 649.35         Avg: 550.28 (24.11)       | w_noise: 0.03110
Step  290000 (g4.7+d7.0)s         | [D] min: 0.28       max: 3.50      | [R_te] min: 285.67         max: 574.98         Avg: 443.23 (25.18)       | w_noise: 0.03099
