Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 9.98           max: 9.99           Avg: 9.99 (0.00)          | w_noise: 0.36788
Step    5000 (g5.9+d10.1)s        | [D] min: 2.00       max: 2.83      | [R_te] min: 9.98           max: 9.99           Avg: 9.99 (0.00)          | w_noise: 0.36766
Step   10000 (g4.7+d6.5)s         | [D] min: 1.34       max: 3.29      | [R_te] min: 9.39           max: 10.28          Avg: 9.73 (0.07)          | w_noise: 0.35160
Step   15000 (g9.4+d9.9)s         | [D] min: 0.90       max: 3.94      | [R_te] min: 220.26         max: 626.67         Avg: 450.95 (47.28)       | w_noise: 0.32765
Step   20000 (g7.4+d10.1)s        | [D] min: 1.07       max: 3.86      | [R_te] min: 383.33         max: 693.15         Avg: 526.87 (33.61)       | w_noise: 0.30322
Step   25000 (g5.5+d8.7)s         | [D] min: 1.13       max: 3.95      | [R_te] min: 61.97          max: 509.02         Avg: 416.12 (40.26)       | w_noise: 0.28947
Step   30000 (g8.3+d9.1)s         | [D] min: 1.24       max: 3.61      | [R_te] min: 38.25          max: 499.07         Avg: 296.98 (45.33)       | w_noise: 0.26724
Step   35000 (g5.2+d9.9)s         | [D] min: 1.09       max: 3.55      | [R_te] min: 61.88          max: 289.33         Avg: 227.39 (19.77)       | w_noise: 0.25066
Step   40000 (g4.1+d7.4)s         | [D] min: 1.16       max: 3.50      | [R_te] min: 29.44          max: 289.21         Avg: 183.77 (30.66)       | w_noise: 0.23524
Step   45000 (g6.4+d7.4)s         | [D] min: 1.23       max: 3.51      | [R_te] min: 31.44          max: 460.65         Avg: 182.51 (53.18)       | w_noise: 0.22074
Step   50000 (g6.2+d8.3)s         | [D] min: 1.29       max: 3.43      | [R_te] min: 174.42         max: 466.18         Avg: 383.13 (28.49)       | w_noise: 0.20714
Step   55000 (g5.7+d8.9)s         | [D] min: 1.17       max: 3.51      | [R_te] min: 307.93         max: 404.37         Avg: 352.05 (12.70)       | w_noise: 0.19164
